nro_solicitud,periodo,categoria,prestacion,tipo,fecha_ingreso,hora_ingreso,distrito,urbanizacion,via,numero,referencia,canal,latitud,longitud,genero,estado
00000001/23,202301,Seguridad Ciudadana (Serenazgo),Mayor presencia policial,Solicitud,2023-01-01,21:05:03,Ate,Ceres,Av. José Carlos Mariátegui,cdra. 14,cerca a la comisaría del sector,X,-11.987882,-76.927319,M,Cerrado
00000002/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-02,08:25:54,San Juan de Lurigancho,Campoy,Av. El Sol de Zárate,573,,Facebook,-12.009711,-77.017209,M,Cerrado
00000003/23,202301,Seguridad Ciudadana (Serenazgo),Mayor presencia policial,Solicitud,2023-01-02,10:39:50,San Juan de Lurigancho,Bayóvar,Av. Gran Chimú,1157,,Facebook,-12.020175,-77.007778,F,Cerrado
00000004/23,202301,Otros,Consulta de estado de expediente ante la Agencia de Protección Ambiental,Solicitud,2023-01-02,11:11:13,San Martín de Porres,Fiori,Av. Canta Callao,1454,,Facebook,-11.992922,-77.082759,F,Cerrado
00000005/23,202301,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-01-02,11:25:21,Ate,Valdiviezo,Av. José Carlos Mariátegui,1025,,Facebook,-12.041633,-76.955655,F,Cerrado
00000006/23,202301,Tránsito/Transporte,Reparación de vereda por raíces de árbol que producen roturas,Solicitud,2023-01-02,11:27:58,Chorrillos,Matellini,Av. Defensores del Morro,2832,,Línea telefónica,-12.160664,-77.036076,M,Cerrado
00000007/23,202301,Tránsito/Transporte,Reparación de vereda rota por empresa de servicio,Solicitud,2023-01-02,12:13:22,La Molina,La Planicie,Av. Javier Prado Este,1025,,Línea telefónica,-12.053176,-76.93993,F,Cerrado
00000008/23,202301,Áreas Verdes,Falta de recolección de restos de poda de arbolado público,Solicitud,2023-01-02,12:27:57,Santiago de Surco,Higuereta,Av. Ayacucho,5280,,Línea telefónica,-12.157517,-76.966394,F,Cerrado
00000009/23,202301,Ruido/Contaminación sonora,Ruidos molestos y vibraciones,Denuncia,2023-01-02,12:54:06,Carabayllo,El Progreso,Av. Universitaria Norte,463,,Línea telefónica,-11.887134,-77.038056,M,Cerrado
00000010/23,202301,Limpieza Pública,Vaciado de contenedor,Reclamo,2023-01-02,12:56:11,Magdalena del Mar,Marbella,Ca. Leoncio Prado,3466,,Línea telefónica,-12.084984,-77.076679,F,Cerrado
